denken	dachte
implementieren	implementierte
bewegen	bewegte
tanzen	tanzte
schreiben	schrieb
schrumpfen	schrumpfte
schwimmen	schwamm
lesen	las
hören	hörte
generieren	generierte
schreien	schrie
schlafen	schlief
füttern	fütterte
steigern	steigerte
schlagen	schlug
beschreiben	beschrieb
sehen	sah
wissen	wusste
laufen	lief
nehmen	nahm
vorhersagen	vorhersagte
bezahlen	bezahlte
verschwinden	verschwand
schauen	schaute
treffen	traf
sitzen	saß
rennen	rannte
spielen	spielte
sinken	sinkte
gehen	ging
verbessern	verbesserte
verstecken	versteckte
fliegen	flog
sagen	sagte
singen	sang
verkaufen	verkaufte
verlangsamen	verlangsamte
verbrauchen	verbrauchte
fallen	fiel
springen	sprang
