etický	neetický
určitý	neurčitý
konzistentní	nekonzistentní
soutěživý	nesoutěživý
komfortní	nekomfortní
pravděpodobný	nepravděpodobný
rozhodný	nerozhodný
produktivní	neproduktivní
efektivní	neefektivní
vhodný	nevhodný
odpovědný	neodpovědný
informovaný	neinformovaný
šťastný	nešťastný
racionální	iracionální
jistý	nejistý
vkusný	nevkusný
přijatelný	nepřijatelný
přesvědčivý	nepřesvědčivý
možný	nemožný
příjemný	nepříjemný
logický	nelogický
známý	neznámý
překvapující	nepřekvapující
jasný	nejasný
čestný	nečestný
poučný	nepoučný
rozumný	nerozumný
