ethical	unethical
certain	uncertain
consistent	inconsistent
competitive	uncompetitive
comfortable	uncomfortable
likely	unlikely
decided	undecided
productive	unproductive
efficient	inefficient
convenient	inconvenient
responsible	irresponsible
informed	uninformed
fortunate	unfortunate
rational	irrational
sure	unsure
tasteful	distasteful
acceptable	unacceptable
convincing	unconvincing
possible	impossible
aware	unaware
pleasant	unpleasant
possibly	impossibly
logical	illogical
known	unknown
impressive	unimpressive
clear	unclear
honest	dishonest
informative	uninformative
reasonable	unreasonable
