effizient	ineffizient
wahrscheinlich	unwahrscheinlich
einheitlich	uneinheitlich
vernünftig	unvernünftig
konkurrenzfähig	konkurrenzunfähig
wissend	unwissend
akzeptabel	inakzeptabel
gewiss	ungewiss
geschmackvoll	geschmacklos
angenehm	unangenehm
informiert	uninformiert
bekannt	unbekannt
produktiv	unproduktiv
rational	irrational
erreichbar	unerreichbar
bequem	unbequem
ehrlich	unehrlich
klar	unklar
verantwortlich	unverantwortlich
sicher	unsicher
moralisch	unmoralisch
logisch	unlogisch
schlüssig	unschlüssig
glücklich	unglücklich
erfreulich	unerfreulich
beeindruckend	unbeeindruckend
möglich	unmöglich
entschlossen	unentschlossen
informativ	uninformativ
