Brazil	brazilski
Italija	talijanski
Peru	peruanski
Finska	finski
Francuska	francuski
Slovačka	slovački
Irska	irski
Argentina	argentinski
Norveška	norveški
Izrael	izraelski
Australija	australski
Koreja	korejski
Island	islandski
Kina	kineski
Čile	čileanski
Njemačka	njemački
Španjolska	španjolski
Ukrajina	ukrajinski
Nizozemska	nizozemski
Danska	danski
Poljska	poljski
Makedonija	makedonski
Moldavija	moldavski
Švedska	švedski
Bjelorusija	bjeloruski
Hrvatska	hrvatski
Malta	malteški
Tajland	tajlandski
Švicarska	švicarski
Rusija	ruski
Bugarska	bugarski
Albanija	albanski
Engleska	engleski
Portugal	portugalski
Meksiko	meksički
Egipat	egipatski
Indija	indijski
Austrija	austrijski
Kolumbija	kolumbijski
Grčka	grčki
Japan	japanski
