Belgie	belgický
Bělorusko	běloruský
Bulharsko	bulharský
Afrika	africký
Amerika	americký	
Anglie	anglický	
Asie	asijský
Austrálie	australský	
Česko	český
Čína	čínský	
Dánsko	dánský	
Evropa	evropský	
Finsko	finský	
Francie	francouzský	
Itálie	italský
Japonsko	japonský	
Lotyšsko	lotyšský
Kanada	kanadský	
Maďarsko	maďarský
Německo	německý
Nizozemsko	nizozemský	
Norsko	norský
Polsko	polský
Portugalsko	portugalský	
Rakousko	rakouský
Rusko	ruský
Rumunsko	rumunský	
Řecko	řecký
Slovensko	slovenský	
Španělsko	španělský	
Švédsko	švédský
Švýcarsko	švýcarský	
Ukrajina	ukrajinský	
Británie	britský
Vietnam	vietnamský	
Peru	peruánský
Chorvatsko	chorvatský
Moldavsko	moldavský
Egypt	egyptský
Indie	indický
Mexiko	mexický
