wichtig	wichtiger
einfach	einfacher
kalt	kälter
hell	heller
alt	älter
hart	härter
groß	größer
hoch	höher
eng	enger
stark	stärker
niedrig	niedriger
heiß	heißer
klug	klüger
schwach	schwächer
neu	neuer
intelligent	intelligenter
lang	länger
klein	kleiner
schlecht	schlechter
tief	tiefer
billig	billiger
jung	jünger
warm	wärmer
sicher	sicherer
breit	breiter
robust	robuster
langsam	langsamer
zügig	zügiger
scharf	schärfer
beliebt	beliebter
schwer	schwerer
leicht	leichter
kurz	kürzer
schnell	schneller
gut	besser
kühl	kühler
laut	lauter
