malý	menší
světlý	světlejší
bílý	bělejší
pěkný	hezčí
dobrý	lepší
slaný	slanější
suchý	sušší
teplý	teplejší
hrubý	hrubší
jednoduchý	jednodušší
lehký	lehčí
krátký	kratší
silný	silnější
tvrdý	tvrdší
vysoký	vyšší
tlustý	tlustší
široký	širší
rychlý	rychlejší
prázdný	prázdnější
čistý	čistší
blízký	bližší
starý	starší
chytrý	chytřejší
ostrý	ostřejší
líný	línější
aktivní	aktivnější
nudný	nudnější
smutný	smutnější
statečný	statečnější
bohatý	bohatší
hluboký	hlubší
nemocný	nemocnější
hezký	hezčí
drahý	dražší
sladký	sladší
rovný	rovnější
pracovitý	pracovitější
chladný	chladnější
horký	horčejší
mužský	mužnější
